source_division,source_district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,best_same_district_upazila,best_same_district_score,global_1_division,global_1_district,global_1_upazila,global_1_score,global_2_division,global_2_district,global_2_upazila,global_2_score,global_3_division,global_3_district,global_3_upazila,global_3_score,classification_hint
Rangpur,Rangpur,Kaonia,2,2,Kaonia UPO | Haragacha SO,5440 | 5441,Kaunia,0.833,Rangpur,Rangpur,Kaunia,0.833,Barisal,Barisal,Kawnia,0.833,Khulna,Narail,Kalia,0.727,same_district_likely
Chattogram,Rangamati,Jarachari,1,1,Jarachari UPO,4560,Juraichari,0.857,Chattogram,Rangamati,Juraichari,0.857,Dhaka,Dhaka,Jatrabari,0.737,Chattogram,Khagrachhari,Panchari,0.737,same_district_likely
Chattogram,Rangamati,Longdu,1,1,Longdu UPO,4580,Langadu,0.769,Chattogram,Rangamati,Langadu,0.769,Dhaka,Shariatpur,Palong,0.667,Mymensingh,Netrokona,Kendua,0.500,same_district_likely
Chattogram,Rangamati,Marishya (Bagaichari),1,1,Marishya (Bagaichari) UPO,4590,Baghaichari,0.710,Chattogram,Rangamati,Baghaichari,0.710,Mymensingh,Jamalpur,Sarishabari,0.667,Chattogram,Rangamati,Belaichari,0.600,same_district_likely
Dhaka,Rajbari,Goalondo,2,2,Goalondo UPO | Khankhanapur SO,7710 | 7711,Goalanda,0.750,Dhaka,Rajbari,Goalanda,0.750,Dhaka,Shariatpur,Palong,0.571,Dhaka,Gopalganj,Gopalganj Sadar,0.545,same_district_likely
Rajshahi,Rajshahi,Lalitgonj,4,4,Lalitgonj UPO | Rakshahi Sugar Mills SO | Shyampur EDSO | Naohata Bazar SO,6210 | 6211 | 6212 | 6213,Boalia,0.533,Khulna,Jhenaidah,Kaliganj,0.824,Rangpur,Lalmonirhat,Kaliganj,0.824,Dhaka,Gazipur,Kaliganj,0.824,possible_cross_district
Chattogram,Lakshmipur,Char Alexander (Rangamati),3,3,Char Alexander (Rangamati) UPO | Hajeer Hat SO | Ramgatir Hat SO,3730 | 3731 | 3732,Ramgati,0.414,Khulna,Chuadanga,Alamdanga,0.516,Dhaka,Faridpur,Alfadanga,0.516,Rajshahi,Rajshahi,Chandrima,0.516,legacy_or_special
Chattogram,Lakshmipur,Roypur,5,5,Roypur UPO | Rakhalia Bazar SO | Nager Dighir Par SO | Haidergonj SO | Bhua Bari EDSO,3710 | 3711 | 3712 | 3713 | 3714,Raipur,0.667,Dhaka,Dhaka,Mirpur,0.667,Khulna,Kushtia,Mirpur,0.667,Chattogram,Lakshmipur,Raipur,0.667,legacy_or_special
Rangpur,Lalmonirhat,Tushbhanader,1,1,Tushbhanader UPO,5520,Hatibandha,0.364,Dhaka,Madaripur,Shibchar,0.600,Dhaka,Munshiganj,Munshiganj Sadar,0.593,Khulna,Kushtia,Kushtia Sadar,0.583,legacy_or_special
Dhaka,Shariatpur,Demuday,1,1,Demuday UPO,8040,Damudya,0.714,Dhaka,Shariatpur,Damudya,0.714,Dhaka,Dhaka,Demra,0.667,Dhaka,Dhaka,Mugda,0.667,same_district_likely
Dhaka,Shariatpur,Jangira,1,1,Jangira UPO,8010,Zajira,0.615,Rajshahi,Pabna,Bhangura,0.667,Chattogram,Chattogram,Rangunia,0.667,Rajshahi,Pabna,Sujanagar,0.625,legacy_or_special
Mymensingh,Sherpur,Bakshigonj,1,1,Bakshigonj,2140,Jhenaigati,0.400,Mymensingh,Jamalpur,Bokshiganj,0.900,Chattogram,Brahmanbaria,Ashuganj,0.778,Rangpur,Rangpur,Mahiganj,0.778,possible_cross_district
Mymensingh,Sherpur,Nakla,2,2,Nakla UPO | Ganapaddi SO,2150 | 2151,Nokla,0.800,Mymensingh,Sherpur,Nokla,0.800,Chattogram,Chattogram,Bakalia,0.667,Khulna,Satkhira,Tala,0.667,same_district_likely
Khulna,Satkhira,Ashashuni,2,2,Ashashuni UPO | Bardal SO,9460 | 9461,Assasuni,0.824,Khulna,Satkhira,Assasuni,0.824,Dhaka,Gopalganj,Kashiani,0.706,Dhaka,Dhaka,Ashulia,0.625,same_district_likely
Khulna,Satkhira,Kolaroa,6,6,Kolaroa UPO | Murarikati EDSO | Jhaodanga EDSO | Hamidpur EDSO | Khordu EDSO | Chandanpur EDSO,9410 | 9411 | 9412 | 9413 | 9414 | 9415,Kalaroa,0.857,Khulna,Satkhira,Kalaroa,0.857,Sylhet,Moulvibazar,Kulaura,0.714,Dhaka,Gopalganj,Kotalipara,0.706,same_district_likely
Rajshahi,Sirajganj,Dhangarha (Roygonj),2,2,Dhangarha (Roygonj) UPO | Malunga SO,6720 | 6721,Raigonj,0.435,Rangpur,Rangpur,Gangachara,0.615,Chattogram,Comilla,Monohargonj,0.593,Rangpur,Rangpur,Taragonj,0.583,legacy_or_special
Sylhet,Sylhet,Jakigonj,2,2,Jakigonj UPO | Ishamati SO,3190 | 3191,Zakiganj,0.875,Sylhet,Sylhet,Zakiganj,0.875,Rajshahi,Sirajganj,Raigonj,0.800,Chattogram,Chandpur,Hajiganj,0.750,same_district_likely
Sylhet,Sunamganj,Dirai Chandpur (Dirai),2,2,Dirai Chandpur (Dirai) UPO | Jagadal EDSO,3040 | 3041,Jagannathpur,0.400,Chattogram,Chandpur,Chandpur Sadar,0.645,Rajshahi,Rajshahi,Chandrima,0.593,Dhaka,Narsingdi,Raipura,0.560,legacy_or_special
Sylhet,Sunamganj,Duara Bazar,1,1,Duara Bazar UPO,3070,Dowarabazar,0.857,Sylhet,Sunamganj,Dowarabazar,0.857,Dhaka,Narayanganj,Araihazar,0.737,Chattogram,Comilla,Bangara Bazar,0.727,same_district_likely
Sylhet,Sunamganj,Jaganhpur,6,6,Jaganhpur UPO | Syedpur SO | Atuajan Barkapan SO | Hasan Fatemapur SO | Rasugonj SO | Sreeramsi SO,3060 | 3061 | 3062 | 3063 | 3064 | 3065,Jagannathpur,0.857,Sylhet,Sunamganj,Jagannathpur,0.857,Dhaka,Tangail,Nagarpur,0.706,Rajshahi,Bogura,Shajahanpur,0.700,same_district_likely
