district_label_bn,source_upazila,post_office_en,post_office_bn,postal_code,source_postal_code_raw,serial,source_url
ঢাকা পোস্ট কোড,Savar,Dhamsona,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Dhamrai UPO,,1350,,48,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Balia,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Amta,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Dimukha,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Kalampur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Barigaon,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Toperbari,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Suapur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Deldha,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Shoilain,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Jadabpur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Berosh,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Bannal,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Mangalbari,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Nannar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Jalsin,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Rowail,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Kathaliya Nabogram,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Sanora,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Nowga Bazar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Gangutiya,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Jalsha,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Sahabelishwar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Chowhatto,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Rajapur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhamrai,Kalampur EDSO,,1351,,49,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Demra,Demra UPO,,1360,,50,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
