division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Barisal,Bhola,Burhanuddin,safe_candidate,Borhan Uddin,high_similarity:0.909;margin:0.338,Borhan Uddin,0.909,Tazumuddin,0.571,Doulatkhan,0.381
Barisal,Bhola,Charfessan,safe_candidate,Charfesson,high_similarity:0.900;margin:0.567,Charfesson,0.900,Lalmohan,0.333,Doulatkhan,0.300
Barisal,Bhola,Daulatkhan,safe_candidate,Doulatkhan,high_similarity:0.900;margin:0.344,Doulatkhan,0.900,Lalmohan,0.556,Charfesson,0.300
Barisal,Bhola,Hat Shasigonj (Tazimuddin),manual_review,,,Tazumuddin,0.562,Borhan Uddin,0.485,Charfesson,0.375
Barisal,Bhola,Sadar,safe_candidate,Bhola Sadar,unique_district_sadar,Bhola Sadar,0.667,Lalmohan,0.308,Tazumuddin,0.267
Khulna,Magura,Arpara (Salikha),manual_review,,,Shalikha,0.667,Magura Sadar,0.500,Sreepur,0.300
Khulna,Magura,Sadar,safe_candidate,Magura Sadar,unique_district_sadar,Magura Sadar,0.625,Shalikha,0.462,Mohammadpur,0.375
Dhaka,Madaripur,Rajair,manual_review,,,Rajoir,0.833,Madaripur Sadar,0.400,Kalkini,0.308
Dhaka,Madaripur,Sadar,safe_candidate,Madaripur Sadar,unique_district_sadar,Madaripur Sadar,0.526,Chashar,0.500,Shibchar,0.462
Dhaka,Manikganj,Daulatpur,safe_candidate,Doulatpur,high_similarity:0.889;margin:0.363,Doulatpur,0.889,Harirampur,0.526,Saturia,0.500
Dhaka,Manikganj,Ghior,safe_candidate,Gior,high_similarity:0.889;margin:0.389,Gior,0.889,Singiar,0.500,Shibaloy,0.462
Dhaka,Manikganj,Sadar,safe_candidate,Manikganj Sadar,unique_district_sadar,Manikganj Sadar,0.526,Singiar,0.500,Saturia,0.500
Dhaka,Manikganj,Shibalaya,manual_review,,,Shibaloy,0.824,Singiar,0.375,Saturia,0.375
Dhaka,Manikganj,Singair,manual_review,,,Singiar,0.857,Saturia,0.429,Shibaloy,0.400
Dhaka,Munshiganj,Gazaria,manual_review,,,Gajaria,0.857,Tongibari,0.500,Sreenagar,0.375
Dhaka,Munshiganj,Louhajong,manual_review,,,Louhajanj,0.778,Tongibari,0.333,Munshiganj Sadar,0.333
Dhaka,Munshiganj,Sadar,safe_candidate,Munshiganj Sadar,unique_district_sadar,Sreenagar,0.571,Sirajdikhan,0.500,Munshiganj Sadar,0.500
Dhaka,Munshiganj,Serajdi Khan,safe_candidate,Sirajdikhan,high_similarity:0.909;margin:0.465,Sirajdikhan,0.909,Gajaria,0.444,Louhajanj,0.400
Khulna,Meherpur,Sadar,safe_candidate,Meherpur Sadar,unique_district_sadar,Meherpur Sadar,0.556,Mujibnagar,0.400,Gangni,0.182
Sylhet,Moulvibazar,Kamalgonj,manual_review,,,Kamolganj,0.778,Kulaura,0.375,Rajnagar,0.353
