division,district,upazila,post_office,postal_code,source_url,source_district_label_bn,source_upazila,resolution_type
Dhaka,Dhaka,Keraniganj,Keranigonj UPO,1310,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Kharakandi,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Konda,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Par Gandaria,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Paschimdi,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Rahitpur,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Rajabari,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Shakta,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Shuvadda,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Shyamlapur,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Sonakanda,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Talepur,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Taranagar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Teghoria,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj,Uttar Pangaon,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Keranigonj,safe_candidate
Dhaka,Dhaka,Keraniganj (South),,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Khilgaon,Bashabo TSO,1214,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Khilgaon,exact
Dhaka,Dhaka,Khilkhet,Khilkhet TSO,1229,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Khilkhet,exact
Dhaka,Dhaka,Kotwali,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Lalbagh,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Mirpur,Mirpur TSO,1216,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Mirpur,exact
Dhaka,Dhaka,Mohammadpur,Bangabhaban TSO,1222,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Mohammadpur,exact
